method,case_id,expected_classification,actual_classification,api,zig_exe,zig_version,zig_cc_version,compiler_target,c_mode,compile_flags,link_flags,compile_exit_code,python_exe,python_version,platform,stdc_version,char_bit,sizeof_char,sizeof_float,sizeof_double,sizeof_long_double,sizeof_void_p,sizeof_size_t,flt_radix,flt_mant_dig,dbl_mant_dig,ldbl_mant_dig,decimal_dig,dbl_decimal_dig,dbl_min,dbl_max,input_text,input_length,locale_name,locale_radix,returned_value,returned_category,endptr_offset,characters_consumed,remaining_suffix,complete_consumption,errno_before,errno_after,range_error,isfinite,isnan,isinf,signbit,fpclassify,policy_name,policy_min,policy_max,policy_accepted,accepted_value,rejection_reason,token_offsets,separator_offsets,parsed_vector,parsed_count,format_precision,formatted_text,snprintf_ret,buffer_capacity,truncation_status,bytewise_roundtrip_equal,stable_input_hash,stable_output_hash,model_loaded,dataset_read,prediction_calculated,threaded_operation,elapsed_time,sanitization_applied,skip_reason,failure_reason,narrow_conclusion
inspect_toolchain,no_conversion_marker,not_applicable,not_applicable,inspect_toolchain,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,not-a-number,,C,.,0,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,no_conversion_marker
exercise_strtod,no_conversion_marker,pass,pass,exercise_strtod,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,not-a-number,,C,.,0,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,no_conversion_marker
check_parse_policy,no_conversion_marker,expected_error,expected_error,check_parse_policy,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,not-a-number,,C,.,0,,0,,,,0,0,,,,,,,strict_token,,,False,,no_conversion,,,,,,,,,,,,,False,False,False,False,0.0,True,,,no_conversion_marker
enumerate_ml_input_model,no_conversion_marker,not_applicable,not_applicable,enumerate_ml_input_model,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,not-a-number,,C,.,0,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,no_conversion_marker
ml_context_observation,no_conversion_marker,not_applicable,not_applicable,ml_context_observation,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,not-a-number,,C,.,0,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,no_conversion_marker
inspect_toolchain,whitespace_and_sign_marker,not_applicable,not_applicable,inspect_toolchain,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308, 	-12.5,,C,.,-12.5,,7,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,whitespace_and_sign_marker
exercise_strtod,whitespace_and_sign_marker,pass,pass,exercise_strtod,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308, 	-12.5,,C,.,-12.5,,7,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,whitespace_and_sign_marker
check_parse_policy,whitespace_and_sign_marker,pass,pass,check_parse_policy,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308, 	-12.5,,C,.,-12.5,,7,,,,0,0,,,,,,,strict_token,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,whitespace_and_sign_marker
enumerate_ml_input_model,whitespace_and_sign_marker,not_applicable,not_applicable,enumerate_ml_input_model,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308, 	-12.5,,C,.,-12.5,,7,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,whitespace_and_sign_marker
ml_context_observation,whitespace_and_sign_marker,not_applicable,not_applicable,ml_context_observation,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308, 	-12.5,,C,.,-12.5,,7,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,whitespace_and_sign_marker
inspect_toolchain,decimal_fraction_marker,not_applicable,not_applicable,inspect_toolchain,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,0.125,,C,.,0.125,,5,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,decimal_fraction_marker
exercise_strtod,decimal_fraction_marker,pass,pass,exercise_strtod,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,0.125,,C,.,0.125,,5,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,decimal_fraction_marker
check_parse_policy,decimal_fraction_marker,pass,pass,check_parse_policy,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,0.125,,C,.,0.125,,5,,,,0,0,,,,,,,strict_token,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,decimal_fraction_marker
enumerate_ml_input_model,decimal_fraction_marker,not_applicable,not_applicable,enumerate_ml_input_model,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,0.125,,C,.,0.125,,5,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,decimal_fraction_marker
ml_context_observation,decimal_fraction_marker,not_applicable,not_applicable,ml_context_observation,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,0.125,,C,.,0.125,,5,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,decimal_fraction_marker
inspect_toolchain,decimal_exponent_marker,not_applicable,not_applicable,inspect_toolchain,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,6.25e-2,,C,.,0.0625,,7,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,decimal_exponent_marker
exercise_strtod,decimal_exponent_marker,pass,pass,exercise_strtod,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,6.25e-2,,C,.,0.0625,,7,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,decimal_exponent_marker
check_parse_policy,decimal_exponent_marker,pass,pass,check_parse_policy,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,6.25e-2,,C,.,0.0625,,7,,,,0,0,,,,,,,strict_token,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,decimal_exponent_marker
enumerate_ml_input_model,decimal_exponent_marker,not_applicable,not_applicable,enumerate_ml_input_model,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,6.25e-2,,C,.,0.0625,,7,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,decimal_exponent_marker
ml_context_observation,decimal_exponent_marker,not_applicable,not_applicable,ml_context_observation,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,6.25e-2,,C,.,0.0625,,7,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,decimal_exponent_marker
inspect_toolchain,trailing_junk_marker,not_applicable,not_applicable,inspect_toolchain,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,3.5ms,,C,.,3.5,,3,,ms,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,trailing_junk_marker
exercise_strtod,trailing_junk_marker,pass,pass,exercise_strtod,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,3.5ms,,C,.,3.5,,3,,ms,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,trailing_junk_marker
check_parse_policy,trailing_junk_marker,expected_error,expected_error,check_parse_policy,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,3.5ms,,C,.,3.5,,3,,ms,,0,0,,,,,,,strict_token,,,False,,trailing_junk,,,,,,,,,,,,,False,False,False,False,0.0,True,,,trailing_junk_marker
enumerate_ml_input_model,trailing_junk_marker,not_applicable,not_applicable,enumerate_ml_input_model,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,3.5ms,,C,.,3.5,,3,,ms,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,trailing_junk_marker
ml_context_observation,trailing_junk_marker,not_applicable,not_applicable,ml_context_observation,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,3.5ms,,C,.,3.5,,3,,ms,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,trailing_junk_marker
inspect_toolchain,overflow_marker,not_applicable,not_applicable,inspect_toolchain,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,1e9999,,C,.,inf,,6,,,,0,34,,,,True,0,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,overflow_marker
exercise_strtod,overflow_marker,pass,pass,exercise_strtod,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,1e9999,,C,.,inf,,6,,,,0,34,,,,True,0,,,,,,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,overflow_marker
check_parse_policy,overflow_marker,expected_error,expected_error,check_parse_policy,/portable-zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic -Werror,,0,/python-lab/python3,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,8,1,4,8,16,8,8,2,24,53,64,21,17,2.2250738585072014e-308,1.7976931348623157e+308,1e9999,,C,.,inf,,6,,,,0,34,,,,True,0,,finite_only,,,False,,,,,,,,,,,,,,,False,False,False,False,0.0,True,,,overflow_marker
